species,site,year,visit,date,count
hl,AU6A,2021,3,29/07/2021,0
hl,AU6A,2021,4,18/11/2021,0
hl,AU6A,2021,5,22/11/2021,0
hl,AU7A,1996,1,15/05/1996,1
hl,AU7A,1996,2,16/05/1996,1
hl,AU7A,1996,3,17/05/1996,0
hl,AU7A,1996,4,18/05/1996,0
hl,AU7A,2010,1,17/06/2010,2
hl,AU7A,2010,2,18/06/2010,0
hl,AU7A,2010,3,15/10/2010,2
hl,AU7A,2013,1,14/03/2013,0
hl,AU7A,2013,2,9/12/2013,0
hl,AU7A,2014,1,10/06/2014,0
hl,AU7A,2014,2,1/10/2014,4
hl,AU7A,2014,3,2/10/2014,0
hl,AU7A,2014,4,3/10/2014,1
hl,AU7A,2016,1,24/02/2016,0
hl,AU7A,2018,1,15/10/2018,0
hl,AU7A,2019,1,15/07/2018,0
hl,AU7A,2020,1,15/07/2020,0
hl,AU7A,2020,2,17/07/2020,0
hl,AU7A,2020,3,18/07/2020,0
hl,AU7A,2021,1,26/07/2021,0
hl,AU7A,2021,2,28/07/2021,0
hl,AU7A,2021,3,29/07/2021,0
hl,AU7A,2021,4,18/11/2021,1
hl,AU8A,2004,1,27/01/2004,6
hl,AU8A,2004,2,17/04/2004,6
hl,AU8A,2004,3,14/04/2004,9
hl,AU8A,2004,4,15/05/2004,12
hl,AU8A,2004,5,8/07/2004,13
hl,AU8A,2004,6,6/10/2004,20
hl,AU8A,2004,7,8/10/2004,24
hl,AU8A,2005,1,10/05/2005,4
hl,AU8A,2005,2,11/05/2005,5
hl,AU8A,2005,3,4/02/2005,11
hl,AU8A,2005,4,11/11/2005,12
hl,AU8A,2005,5,3/02/2005,13
hl,AU8A,2005,6,10/11/2005,13
hl,AU8A,2006,1,12/03/2006,3
hl,AU8A,2006,2,9/03/2006,7
hl,AU8A,2006,3,23/08/2006,23
hl,AU8A,2006,4,30/05/2006,27
hl,AU8A,2007,1,15/06/2007,8
hl,AU8A,2007,2,26/10/2007,9
hl,AU8A,2007,3,19/06/2007,11
hl,AU8A,2007,4,29/10/2007,13
hl,AU8A,2007,5,25/07/2007,20
hl,AU8A,2008,1,1/04/2008,17
hl,AU8A,2008,2,12/06/2008,21
hl,AU8A,2008,3,16/06/2008,22
hl,AU8A,2008,4,16/10/2008,28
hl,AU8A,2009,1,25/03/2009,11
hl,AU8A,2009,2,18/06/2009,26
hl,AU8A,2010,1,11/10/2010,15
hl,AU8A,2010,2,15/06/2010,10
hl,AU8A,2010,3,12/10/2010,2
hl,AU8A,2012,1,8/08/2012,20
hl,AU8A,2012,2,7/08/2012,27
hl,AU8A,2012,3,16/01/2012,3
hl,AU8A,2013,1,11/03/2013,15
hl,AU8A,2013,2,2/10/2013,15
hl,AU8A,2013,3,10/10/2013,15
hl,AU8A,2013,4,3/10/2013,16
hl,AU8A,2013,5,12/03/2013,21
hl,AU8A,2014,1,1/10/2014,11
hl,AU8A,2014,2,9/06/2014,17
hl,AU8A,2014,3,30/09/2014,18
hl,AU8A,2014,4,21/10/2014,19
hl,AU8A,2014,5,10/06/2014,20
hl,AU8A,2015,1,29/09/2015,11
hl,AU8A,2015,2,30/09/2015,15
hl,AU8A,2015,3,1/10/2015,16
hl,AU8A,2016,1,29/09/2016,7
hl,AU8A,2016,2,24/02/2016,10
hl,AU8A,2016,3,19/10/2016,12
hl,AU8A,2016,4,23/02/2016,17
hl,AU8A,2017,1,13/09/2017,13
hl,AU8A,2017,2,7/09/2017,13
hl,AU8A,2017,3,5/09/2017,14
hl,AU8A,2018,1,15/10/2018,8
hl,AU8A,2018,2,16/10/2018,8
hl,AU8A,2018,3,17/10/2018,9
hl,AU8A,2019,1,14/04/2019,3
hl,AU8A,2019,2,15/04/2019,4
hl,AU8A,2020,1,4/06/2020,5
hl,AU8A,2020,2,16/07/2020,4
hl,AU8A,2020,3,30/09/2020,3
hl,AU8A,2020,4,17/07/2020,5
hl,AU8A,2020,5,18/07/2020,7
hl,AU8A,2020,6,19/07/2020,7
hl,AU8A,2020,7,20/07/2020,6
hl,AU8A,2020,8,1/10/2020,9
hl,AU8A,2020,9,29/09/2020,7
hl,AU8A,2021,1,29/09/2021,8
hl,AU8A,2021,2,30/09/2021,5
hl,AU8A,2021,3,1/10/2021,4
hl,AU8A,2021,4,27/09/2021,1
hl,AU8A,2021,5,28/09/2021,3
hl,AU8A,2021,6,27/07/2021,6
hl,AUAC,1992,1,7/08/1992,16
hl,AUAC,1992,2,20/08/1992,20
hl,AUAC,1992,3,28/08/1992,11
hl,AUAC,1992,4,9/11/1992,6
hl,AUAC,1992,5,12/11/1992,9
hl,AUAC,1992,6,27/11/1992,9
hl,AUAC,1993,1,7/03/1993,14
hl,AUAC,1993,2,22/03/1993,5
hl,AUAC,1993,3,7/06/1993,7
hl,AUAC,1993,4,23/06/1993,10
hl,AUAC,1993,5,9/03/1993,5
hl,AUAC,1994,1,3/03/1994,10
hl,AUAC,1994,2,4/03/1994,12
hl,AUAC,1994,3,8/03/1994,10
hl,AUAC,1994,4,8/04/1994,8
hl,AUAC,1994,5,11/04/1994,10
hl,AUAC,1994,6,14/04/1994,2
hl,AUAC,1994,7,12/11/1994,11
hl,AUAC,1994,8,13/11/1994,8
hl,AUAC,1994,9,14/11/1994,3
hl,AUAC,1994,10,16/11/1994,3
hl,AUAC,1997,1,12/12/1997,6
hl,AUAC,2009,1,19/06/2009,12
hl,AUAC,2009,2,20/06/2009,10
hl,AUAC,2014,1,27/05/2014,3
hl,AUAC,2014,2,29/05/2014,5
hl,AUAC,2014,3,12/06/2014,4
hl,AUAC,2014,4,28/05/2014,0
hl,AUAC,2020,1,11/11/2020,2
hl,AUAC,2021,1,7/05/2021,1
hl,AUAC,2021,2,8/05/2021,3
hl,AUAC,2021,3,9/05/2021,4
hl,AUAD,1992,1,13/08/1992,3
hl,AUAD,1992,2,23/08/1992,3
hl,AUAD,1992,3,26/08/1992,6
hl,AUAD,1992,4,7/11/1992,2
hl,AUAD,1992,5,21/11/1992,3
hl,AUAD,1992,6,25/11/1992,3
hl,AUAD,1993,1,5/05/1993,5
hl,AUAD,1993,2,11/03/1993,6
hl,AUAD,1993,3,26/03/1993,1
hl,AUAD,1993,4,20/06/1993,6
hl,AUAD,1993,5,7/06/1993,2
hl,AUAD,1994,1,4/03/1994,6
hl,AUAD,1994,2,7/03/1994,1
hl,AUAD,1994,3,8/03/1994,4
hl,AUAD,1994,4,8/04/1994,2
hl,AUAD,1994,5,9/04/1994,3
hl,AUAD,1994,6,11/04/1994,5
hl,AUAD,1994,7,14/11/1994,4
hl,AUAD,1994,8,19/11/1994,5
hl,AUAD,1995,1,15/11/1995,1
hl,AUAD,1996,1,16/08/1996,1
hl,AUAD,1996,2,17/08/1996,1
hl,AUAD,1996,3,18/08/1996,1
hl,AUAD,1998,1,12/02/1998,1
hl,AUAD,2020,1,11/11/2020,0
hl,AUAD,2021,1,9/11/2021,0
hl,AUAD,2021,2,10/11/2021,0
hl,AUAD,2021,3,11/11/2021,0
hl,AUSI,1994,1,5/03/1994,4
hl,AUSI,1994,2,10/03/1994,9
hl,AUSI,1994,3,11/03/1994,14
hl,AUSI,1994,4,10/04/1994,13
hl,AUSI,1994,5,15/04/1994,15
hl,AUSI,1994,6,15/11/1994,9
hl,AUSI,1994,7,17/11/1994,12
hl,AUSI,1994,8,22/11/1994,12
hl,AUSI,1997,1,NA,5
hl,AUSI,1997,2,NA,8
hl,AUSI,1997,3,NA,12
hl,AUSI,1997,4,NA,14
hl,AUSI,1997,5,NA,11
hl,AUSI,1997,6,NA,4
hl,AUSI,1997,7,NA,2
hl,AUSI,1997,8,NA,7
hl,AUSI,2000,1,NA,5
hl,AUSI,2000,2,NA,3
hl,AUSI,2000,3,NA,8
hl,AUSI,2000,4,NA,3
hl,AUSI,2000,5,NA,11
hl,AUSI,2000,6,NA,5
hl,AUSI,2000,7,NA,8
hl,AUSI,2000,8,NA,5
hl,AUSI,2021,1,6/05/2021,5
hl,AUSR,1994,1,3/03/1994,0
hl,AUSR,1994,2,5/03/1994,2
hl,AUSR,1994,3,8/03/1994,6
hl,AUSR,1994,4,7/04/1994,5
hl,AUSR,1994,5,8/04/1994,5
hl,AUSR,1994,6,11/04/1994,9
hl,AUSR,1994,7,12/04/1994,3
hl,AUSR,1994,8,14/11/1994,5
hl,AUSR,1994,9,13/11/1994,1
hl,AUSR,1994,10,16/11/1994,4
hl,AUSR,2009,1,19/06/2009,14
hl,AUSR,2009,2,20/06/2009,6
hl,AUSR,2014,1,27/05/2014,0
hl,AUSR,2014,2,28/05/2014,0
hl,AUSR,2014,3,29/05/2014,2
hl,AUSR,2020,1,30/09/2020,3
hl,AUSR,2020,2,9/11/2020,5
hl,AUSR,2021,1,8/05/2021,2
hl,AUSR,2021,2,9/05/2021,0
hl,AUSR,2021,3,7/05/2021,4
hl,CU10A,2000,1,22/01/2000,0
hl,CU10A,2000,2,23/01/2000,0
hl,CU10A,2000,3,11/09/2000,0
hl,CU10A,2000,4,12/09/2000,0
hl,CU10A,2000,5,13/09/2000,0
hl,CU10A,2000,6,14/09/2000,0
hl,CU10A,2004,1,20/04/2004,0
hl,CU10A,2004,2,21/04/2004,0
hl,CU10A,2004,3,14/10/2004,0
hl,CU10A,2004,4,16/10/2004,0
hl,CU10A,2004,5,17/10/2004,0
hl,CU10A,2005,1,12/02/2005,0
hl,CU10A,2005,2,19/11/2005,0
hl,CU10A,2006,1,24/06/2006,0
hl,CU10A,2006,2,13/10/2006,0
hl,CU10A,2007,1,18/10/2007,0
hl,CU10A,2008,1,18/03/2008,0
hl,CU10A,2008,2,24/10/2008,0
hl,CU10A,2008,3,23/06/2008,0
hl,CU10A,2009,1,31/03/2009,0
hl,CU10A,2009,2,19/01/2009,0
hl,CU10A,2009,3,18/01/2009,0
